id,ibm_date,ibm_score,ibm_label,ibm_content
newsweek,2023-10-30T16:13:19Z,0.448,positive,"Around the world, entrepreneurs are trying to turn green tech ideas into viable businesses. Many are working with technology that has been proven to work, but is too expensive for widespread use. The… [+11350 chars]"
abc-news,2023-10-31T13:42:54Z,0.0,neutral,"RALEIGH, N.C. -- Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory it's constructing in North Carolina, more than doubling its prior investments and expec… [+3480 chars]"
abc-news,2023-10-25T03:51:22Z,0.5985,positive,"TOKYO -- TOKYO (AP) We love battery EVs.
Takero Kato, the executive in charge of electric vehicles at Toyota, said that not once, but twice, to emphasize what he considers the message at this years … [+5263 chars]"
abc-news,2023-10-19T21:26:36Z,-0.8907,negative,"WASHINGTON -- With the growing popularity of disposable e-cigarettes, communities across the U.S. are confronting a new vaping problem: how to safely get rid of millions of small, battery-powered dev… [+8105 chars]"
abc-news,2023-10-25T03:50:32Z,0.5985,positive,"TOKYO -- TOKYO (AP) We love battery EVs.
Takero Kato, the executive in charge of electric vehicles at Toyota, said that not once, but twice, to emphasize what he considers the message at this years … [+5263 chars]"
abc-news,2023-11-01T06:22:38Z,0.6487,positive,"TOKYO -- Toyotas July-September profit jumped nearly threefold from a year ago as vehicle sales grew around the world and a cheap yen boosted the Japanese automakers overseas earnings.
Toyota Motor … [+2983 chars]"
abc-news,2023-10-29T08:22:22Z,0.6301,positive,TOKYO -- Trade and economy officials from the Group of Seven wealthy democracies strengthened their pledge Sunday to work together to ensure smooth supply chains for essentials like energy and food d… [+3548 chars]
time,2023-10-20T21:39:30Z,-0.3817,negative,"Britney Spears knows what it means to be deprived of adulthood. As told in her highly anticipated memoir, The Woman in Me, hers is a tale of rapid maturity followed by arrested development, freedom f… [+11066 chars]"
abc-news,2023-10-25T03:50:36Z,0.5985,positive,"TOKYO -- TOKYO (AP) We love battery EVs.
Takero Kato, the executive in charge of electric vehicles at Toyota, said that not once, but twice, to emphasize what he considers the message at this years … [+5263 chars]"
abc-news,2023-10-17T07:18:25Z,0.0,neutral,"BEIJING -- China is hosting its third international forum centered around President Xi Jinpings signature policy, the Belt and Road Initiative, which over the past 10 years has built infrastructure a… [+5446 chars]"
breitbart-news,2023-10-17T18:43:37Z,0.0,neutral,"Chiles far-left President Gabriel Boric met with his Chinese counterpart, genocidal dictator Xi Jinping, on Tuesday, pledging to defend Beijing’s false claims over Taiwan and seeking support for his … [+5595 chars]"
ars-technica,2023-10-25T15:25:55Z,-0.7175,negative,"Enlarge/ A GM Ultium battery pack. 
75 with 
Bad news for fans of cheaper electric vehicles: The planned collaboration between Honda and General Motors on a range of cheaper EVs has been canceled. … [+3548 chars]"
breitbart-news,2023-10-31T18:55:02Z,0.3935,positive,"After investing billions to adhere to President Joe Biden’s green energy agenda, General Motors (GM) is backtracking on all fronts when it comes to Electric Vehicles (EVs).
As GM was the last of the… [+3230 chars]"
breitbart-news,2023-10-23T22:15:07Z,0.0,neutral,"Nearly 7,000 auto workers at Stellantis’ Sterling Heights Assembly Plant in Sterling Heights, Michigan, have joined the United Auto Workers (UAW) strike — a major blow for the automaker as the plant … [+2519 chars]"
fox-news,2023-10-19T17:55:51Z,-0.8252,negative,"With the growing popularity of disposable e-cigarettes, communities across the U.S. are confronting a new vaping problem: how to safely get rid of millions of small, battery-powered devices that are … [+7914 chars]"
techradar,2023-10-30T13:00:29Z,-0.5295,negative,"Yeedi Cube: One-minute review
The Yeedi Cube comes among a litany of combo robot vacuums capable of both vacuuming and mopping. In that regard, it’s one of many. What sets it apart then is the fact … [+15208 chars]"
nbc-news,2023-10-20T04:06:21Z,-0.5513,negative,"Britney Spears is shedding new light onto what her life was like during her 13-year court-ordered conservatorship.
In her upcoming memoir, The Woman In Me, obtained early by TheNew York Times, which… [+3213 chars]"
breitbart-news,2023-10-27T22:28:20Z,0.3316,positive,"After investing billions into a green energy agenda mimicking President Joe Biden’s federal rules, American automakers are quickly learning that Americans are not buying electric vehicles (EVs) at th… [+5334 chars]"
fox-news,2023-10-18T18:00:10Z,0.0,neutral,"In yet another attempt to regulate the car market and phase out internal combustion engines (ICE), another agency has proposed a rule with lofty ambitions of increasing fleet-wide Corporate Average F… [+4942 chars]"
engadget,2023-11-01T04:57:10Z,-0.6099,negative,"Your EV may go a long way between charges, but can it carry dozens of passengers? GreenPower can boast both of those things with its latest electric school bus called ""Mega Beast,"" it announced in a … [+1575 chars]"
reuters,2023-10-24T10:40:38Z,-0.3458,negative,"DETROIT, Oct 24 (Reuters) - General Motors (GM.N) on Tuesday withdrew its 2023 profit outlook, blaming the rising costs of United Auto Workers strikes, but the automaker's shares rose on better-than-… [+5638 chars]"
techcrunch,2023-10-15T01:03:55Z,0.0,neutral,Ten billion. That’s how many commercially procurable molecules are available today. Start looking at them in groups of five the typical combination used to make electrolyte materials in batteries and… [+4802 chars]
usa-today,2023-10-26T11:35:39Z,-0.6586,negative,"More than a dozen states now have near-total abortion bans following the overturning of Roe v. Wade, with limited medical exceptions meant to protect the patients health or life.
But among those sta… [+12492 chars]"
